answer,left_method,participant,right_method,test_case
1080p_60hz_q_27,1080p_60hz_q_27,62196700-8612-4ce5-9252-a4e51b75a55c,1080p_60hz_q_37,SeaRock@display=downscale_720p
1080p_60hz_q_27,1080p_60hz_q_27,39a9692b-19b9-44a9-8cf7-fc9c8eba1197,1080p_60hz_q_37,SeaRock@display=downscale_720p
1080p_60hz_q_27,1080p_60hz_q_37,57248c84-7197-4405-bd35-0b828bf32b1d,1080p_60hz_q_27,SeaRock@display=downscale_720p
1080p_60hz_q_27,1080p_60hz_q_27,9df44459-d976-443e-afa1-1ab807258249,1080p_60hz_q_37,SeaRock@display=downscale_720p
1080p_60hz_q_27,1080p_60hz_q_27,44085517-28e9-4517-b7e2-4ecdcb24cb62,1080p_60hz_q_37,SeaRock@display=downscale_720p
1080p_60hz_q_27,1080p_60hz_q_27,546d4dba-fa8f-44f9-b500-40c1c2ffd328,1080p_60hz_q_37,SeaRock@display=downscale_720p
1080p_60hz_q_27,1080p_60hz_q_27,f96d2e8a-9dd3-40ef-b3d8-34428022c9f8,1080p_60hz_q_37,SeaRock@display=downscale_720p
1080p_60hz_q_27,1080p_60hz_q_27,79a69f4d-6b71-441e-a342-453345640f42,1080p_60hz_q_37,SeaRock@display=downscale_720p
,1080p_60hz_q_37,5f2da662-54f7-4faf-a547-2d93f5e80396,1080p_60hz_q_27,SeaRock@display=downscale_720p
1080p_60hz_q_27,1080p_60hz_q_27,9296ccc0-534e-4631-90e6-250a619f4625,1080p_60hz_q_37,SeaRock@display=downscale_720p
1080p_60hz_q_31,1080p_60hz_q_41,496241dd-04c4-4b09-988d-72af996c5d0f,1080p_60hz_q_31,Ritual@display=downscale_720p
1080p_60hz_q_31,1080p_60hz_q_31,3d2fa24e-bdc4-4457-8461-83cdada51dc6,1080p_60hz_q_41,Ritual@display=downscale_720p
1080p_60hz_q_31,1080p_60hz_q_31,5e3952cd-cb60-46af-8511-5bd1b70e8187,1080p_60hz_q_41,Ritual@display=downscale_720p
,1080p_60hz_q_31,7ba9d357-c0ed-4da6-a777-da913c2fcaad,1080p_60hz_q_41,Ritual@display=downscale_720p
1080p_60hz_q_31,1080p_60hz_q_41,7c103a80-7837-46d1-a15f-d961ad584487,1080p_60hz_q_31,Ritual@display=downscale_720p
1080p_60hz_q_31,1080p_60hz_q_41,7d55d64f-d566-4879-a276-fd11ee1e2456,1080p_60hz_q_31,Ritual@display=downscale_720p
1080p_60hz_q_31,1080p_60hz_q_41,62196700-8612-4ce5-9252-a4e51b75a55c,1080p_60hz_q_31,Ritual@display=downscale_720p
