answer,left_method,participant,right_method,test_case
13_50fps,13_50fps,58610daf-4074-4fec-bc1c-4770879d61c8,12_50fps,mc@display=no-training
13_50fps,12_50fps,33920445-a272-4833-a2bd-b60fa5a04536,13_50fps,mc@display=no-training
13_50fps,13_50fps,630aff3d-3ab7-4cb4-905a-dc27697f8572,12_50fps,mc@display=no-training
13_50fps,12_50fps,fbb9f043-7950-41ce-817f-27e38dcf2bfb,13_50fps,mc@display=no-training
13_50fps,13_50fps,11db3acb-288e-45af-8b03-6c6762d57fd3,12_50fps,mc@display=no-training
13_50fps,13_50fps,cdf2dad0-af39-485b-894c-b2ff5d19e348,12_50fps,mc@display=no-training
13_50fps,13_50fps,45764b9e-1aaf-4afb-89d1-6d2cc38d7c1a,12_50fps,mc@display=no-training
13_50fps,12_50fps,d525c5ca-6140-4540-a61f-22179ffbc792,13_50fps,mc@display=no-training
13_50fps,12_50fps,dd3f3504-ab40-47fc-9751-1c0a3d02cc62,13_50fps,mc@display=no-training
13_50fps,13_50fps,542711ab-bcb8-424f-92d3-27b288d47359,12_50fps,mc@display=no-training
5_50fps,5_50fps,da85add1-f1b2-4d6c-a92c-16edac52b42b,11_50fps,mc@display=no-training
5_50fps,5_50fps,7d3d38fd-547c-43c1-af86-0bc68bbb33af,11_50fps,mc@display=no-training
11_50fps,11_50fps,3521500f-73a5-4c23-853b-8f0ce5b3d92f,5_50fps,mc@display=no-training
5_50fps,5_50fps,d525c5ca-6140-4540-a61f-22179ffbc792,11_50fps,mc@display=no-training
11_50fps,5_50fps,11db3acb-288e-45af-8b03-6c6762d57fd3,11_50fps,mc@display=no-training
11_50fps,5_50fps,11db3acb-288e-45af-8b03-6c6762d57fd3,11_50fps,mc@display=no-training
11_50fps,11_50fps,11db3acb-288e-45af-8b03-6c6762d57fd3,5_50fps,mc@display=no-training
5_50fps,5_50fps,d7b2a508-f469-4b1b-bfd6-e44749545450,11_50fps,mc@display=no-training
11_50fps,11_50fps,b066ef4f-1fb5-4a6d-b1d7-5a4e654c3efa,5_50fps,mc@display=no-training
5_50fps,11_50fps,f60a36aa-458a-4e8d-a50a-4a398ad38cb2,5_50fps,mc@display=no-training
9_50fps,2_50fps,8080cc99-04e0-4ae1-a824-a6d17c614abb,9_50fps,mc@display=no-training
9_50fps,2_50fps,a0c2d52c-ddc3-4bb4-8744-5a989100dbf6,9_50fps,mc@display=no-training
9_50fps,2_50fps,84ca9dd6-4310-434b-946b-97d8f4b39485,9_50fps,mc@display=no-training
9_50fps,2_50fps,a07f105d-b327-4e67-a324-e213ab12c547,9_50fps,mc@display=no-training
9_50fps,2_50fps,2be68ad6-657e-4ffe-b18b-9bca4e91fd1a,9_50fps,mc@display=no-training
9_50fps,2_50fps,6a64ffbb-f695-4513-846a-2f9cdbe1ba3b,9_50fps,mc@display=no-training
9_50fps,2_50fps,6422b30c-4004-46d9-99b3-57b3d473d60d,9_50fps,mc@display=no-training
9_50fps,9_50fps,11db3acb-288e-45af-8b03-6c6762d57fd3,2_50fps,mc@display=no-training
9_50fps,2_50fps,0febb639-cbaf-4607-83ee-763ea7fdd47c,9_50fps,mc@display=no-training
9_50fps,2_50fps,b93642b3-a858-453c-b8e3-9cd43fc58f9e,9_50fps,mc@display=no-training
8_50fps,8_50fps,0c3224df-0ca1-473b-9ab7-3466eabb0233,15_50fps,mc@display=no-training
